PLAYER_NAME,Team,Class,Height,Position,PLAYER_ID,TEAM_NAME,GAMES,MINUTES_PLAYED,FIELD_GOALS_MADE,FIELD_GOAL_ATTEMPTS,FIELD_GOAL_PERCENTAGE,THREE_POINTS_MADE,THREE_POINT_ATTEMPTS,THREE_POINT_PERCENTAGE,FREE_THROWS_MADE,FREE_THROW_ATTEMPTS,FREE_THROW_PERCENTAGE,OFFENSIVE_REBOUNDS,DEFENSIVE_REBOUNDS,TOTAL_REBOUNDS,ASSISTS,TURNOVERS,STEALS,BLOCKS,FOULS,POINTS
Zaay Green, Ark.-Pine Bluff (SWAC),Senior,74,Guard,ncaaw.p.67817,Alabama,27,926,177,411,43.1,24,88,27.3,59,94,62.8,32,173,205,150,76,62,18,62,437
N'Yah Boyd, Houston (Big 12),Senior,66,Guard,ncaaw.p.61246,Houston,30,880,105,317,33.1,33,119,27.7,50,78,64.1,24,73,97,94,48,38,2,40,293
Kymora Johnson, Virginia (ACC),Freshman,67,Guard,ncaaw.p.112266,Virginia,30,932,175,420,41.7,59,183,32.2,58,71,81.7,26,117,143,162,87,54,8,59,467
Kristian Young, UIC (MVC),Senior,65,Guard,ncaaw.p.65247,Ill. Chicago,31,670,26,91,28.6,2,28,7.1,38,79,48.1,27,57,84,113,60,43,3,51,92
Grace O'Neill, Drexel (CAA),Sophomore,67,Guard,ncaaw.p.70541,Drexel,28,881,54,163,33.1,16,64,25,19,23,82.6,43,109,152,84,42,35,5,41,143
Jeanae Terry, Purdue (Big Ten),Senior,71,Guard,ncaaw.p.60669,Purdue,31,933,58,147,39.5,2,5,40,42,61,68.9,75,181,256,188,96,60,12,75,160
Sam Galanopoulos, Loyola Chicago (Atlantic 10),Senior,68,Guard,ncaaw.p.60999,Loyola Chicago,31,1054,160,344,46.5,44,104,42.3,54,74,73,35,64,99,125,65,34,1,62,418
Nitzan Amar, Manhattan (MAAC),Sophomore,70,Guard,ncaaw.p.67171,Manhattan,25,822,87,215,40.5,26,67,38.8,19,30,63.3,14,73,87,95,52,20,10,24,219
McKelle Meek, Portland (WCC),Senior,67,Guard,ncaaw.p.65054,Portland,31,678,44,140,31.4,23,84,27.4,26,32,81.3,9,42,51,106,60,23,0,47,137
Julia Martinez, Saint Louis (Atlantic 10),Senior,70,Guard,ncaaw.p.60721,Saint Louis,29,857,76,173,43.9,6,19,31.6,76,111,68.5,63,123,186,182,99,81,5,70,234
Amy Velasco, Bowling Green (MAC),Junior,67,Guard,ncaaw.p.67651,Bowling Green,29,1025,139,323,43,43,104,41.3,97,112,86.6,12,74,86,139,69,37,5,69,418
Ella Sawyer, Indiana St. (MVC),Senior,69,Guard,ncaaw.p.61502,Indiana St.,30,848,56,140,40,10,47,21.3,74,97,76.3,37,96,133,99,48,46,13,92,196
Mama Dembele, Missouri (SEC),Senior,66,Guard,ncaaw.p.64426,South Florida,29,934,104,243,42.8,12,38,31.6,75,95,78.9,14,129,143,189,100,97,1,76,295
Bria Sanders-Woods, Murray St. (MVC),Senior,68,Guard,ncaaw.p.64677,Murray St.,29,727,79,191,41.4,23,79,29.1,44,66,66.7,12,49,61,122,70,36,6,72,225
Ber'Nyah Mayo, St. John's (NY) (Big East),Junior,66,Guard,ncaaw.p.64637,St. John's,31,983,115,301,38.2,21,87,24.1,81,110,73.6,20,78,98,105,61,54,1,42,332
Caitlin Clark, Iowa (Big Ten),Senior,72,Guard,ncaaw.p.64550,Iowa,32,1088,332,719,46.2,168,437,38.4,188,219,85.8,10,224,234,282,151,55,17,61,1020
Maya Wong, Illinois St. (MVC),Senior,68,Guard,ncaaw.p.61604,Illinois St.,30,841,97,207,46.9,38,95,40,121,142,85.2,6,67,73,122,66,15,5,65,353
Ivy Turner, Eastern Ky. (ASUN),Senior,64,Guard,ncaaw.p.61536,E. Kentucky,31,988,120,286,42,38,112,33.9,61,72,84.7,29,89,118,103,54,45,0,28,339
Chloe Fleming, Southern U. (SWAC),Senior,66,Guard,ncaaw.p.61789,Southern,29,749,61,179,34.1,5,18,27.8,32,55,58.2,20,68,88,114,60,46,4,58,159
Issy Morgan, Davidson (Atlantic 10),Junior,70,Guard,ncaaw.p.67808,Davidson,24,683,68,165,41.2,19,48,39.6,45,56,80.4,22,46,68,81,44,27,5,72,200
Jordan Harrison, West Virginia (Big 12),Sophomore,66,Guard,ncaaw.p.71130,West Virginia,31,995,140,304,46.1,39,124,31.5,110,134,82.1,39,87,126,161,87,92,1,74,429
Zoe Brooks, NC State (ACC),Freshman,70,Guard,ncaaw.p.112212,N.C. State,32,836,105,251,41.8,11,56,19.6,61,85,71.8,18,96,114,114,63,42,17,59,282
Jenna Clark, Yale (Ivy League),Senior,67,Guard,ncaaw.p.61036,Yale,27,970,133,369,36,44,143,30.8,77,108,71.3,6,113,119,165,92,31,3,77,387
Kiki Rice, UCLA (Pac-12),Sophomore,71,Guard,ncaaw.p.71186,UCLA,31,958,140,314,44.6,26,80,32.5,86,101,85.1,21,158,179,142,79,47,16,69,392
Gabby Gregory, Kansas St. (Big 12),Senior,72,Guard,ncaaw.p.60373,Kansas St.,31,856,91,260,35,45,161,28,51,73,69.9,32,81,113,108,58,16,11,43,278
Emily Mellema, Wyoming (Mountain West),Junior,71,Guard,ncaaw.p.67231,Wyoming,29,852,100,254,39.4,22,86,25.6,41,52,78.8,13,77,90,83,53,41,11,71,263
Tuti Jones, Belmont (MVC),Junior,67,Guard,ncaaw.p.64360,Belmont,31,1018,125,325,38.5,57,174,32.8,39,53,73.6,26,105,131,127,64,73,4,56,346
Gia Adams, UT Arlington (WAC),Junior,67,Guard,ncaaw.p.67562,UT Arlington,30,972,162,360,45,46,124,37.1,76,92,82.6,15,75,90,100,60,47,5,79,446
Serena Sundell, Kansas St. (Big 12),Junior,73,Guard,ncaaw.p.66864,Kansas St.,31,1000,144,265,54.3,30,80,37.5,54,86,62.8,17,103,120,168,91,39,23,48,372
Kaitlyn Chen, Princeton (Ivy League),Senior,69,Guard,ncaaw.p.67676,Connecticut,27,928,168,342,49.1,19,59,32.2,67,85,78.8,24,72,96,136,71,32,10,55,422
Dyaisha Fair, Syracuse (ACC),Senior,65,Guard,ncaaw.p.61082,Syracuse,30,1094,219,558,39.2,107,282,37.9,115,144,79.9,42,100,142,104,59,67,6,15,660
Izzy Higginbottom, Arkansas St. (Sun Belt),Junior,67,Guard,ncaaw.p.66875,Arkansas,26,967,183,396,46.2,36,98,36.7,175,192,91.1,22,83,105,95,55,35,4,39,577
Sharonica Hartsfield, Troy (Sun Belt),Junior,65,Guard,ncaaw.p.64031,Grambling St.,30,506,24,79,30.4,5,19,26.3,16,30,53.3,27,45,72,95,57,44,2,60,69
Jordan Hobbs, Michigan (Big Ten),Junior,75,Guard,ncaaw.p.67558,Michigan,33,945,113,268,42.2,45,115,39.1,55,68,80.9,15,119,134,98,56,21,10,62,326
Kyla Hamilton, Nicholls (Southland),Senior,66,Guard,ncaaw.p.60912,Nicholls,30,948,106,259,40.9,33,103,32,44,61,72.1,33,87,120,96,57,48,2,72,289
Luana Leite, San Francisco (WCC),Junior,67,Guard,ncaaw.p.112693,San Francisco,30,906,84,235,35.7,2,24,8.3,66,96,68.8,47,65,112,130,76,39,3,71,236
Hailey Giaratano, Southeastern La. (Southland),Senior,70,Guard,ncaaw.p.60978,SE Louisiana,29,1029,144,356,40.4,15,60,25,58,73,79.5,21,96,117,86,49,26,10,40,361
Laila Jewett, UCF (Big 12),Junior,70,Guard,ncaaw.p.67202,UCF,29,886,79,211,37.4,37,94,39.4,45,50,90,8,67,75,99,58,25,3,55,240
Madison Booker, Texas (Big 12),Freshman,73,Forward,ncaaw.p.112222,Texas,31,942,186,409,45.5,17,58,29.3,127,145,87.6,25,127,152,154,90,48,10,75,516
Shayeann Day-Wilson, Miami (FL) (ACC),Junior,66,Guard,ncaaw.p.67853,LSU,31,929,132,319,41.4,60,163,36.8,44,61,72.1,12,73,85,110,65,23,2,71,368
Lauren Jensen, Creighton (Big East),Senior,70,Guard,ncaaw.p.64546,Creighton,29,1006,189,421,44.9,65,183,35.5,61,68,89.7,19,89,108,91,54,24,7,59,504
RyAnne Walters, UC Riverside (Big West),Senior,67,Guard,ncaaw.p.67815,Louisiana,24,664,45,160,28.1,24,75,32,14,21,66.7,10,67,77,76,43,48,2,47,128
Jasmine Powell, Tennessee (SEC),Senior,66,Guard,ncaaw.p.60804,Tennessee,30,888,94,243,38.7,21,77,27.3,72,94,76.6,33,108,141,123,76,28,4,56,281
Alyssa Marin, UC Santa Barbara (Big West),Senior,69,Guard,ncaaw.p.64518,UCSB,27,703,82,239,34.3,41,108,38,112,136,82.4,16,48,64,83,52,25,2,54,317
Jordyn Cambridge, Vanderbilt (SEC),Senior,69,Guard,ncaaw.p.57398,Vanderbilt,31,1072,128,373,34.3,42,153,27.5,75,103,72.8,53,134,187,137,86,111,7,80,373
Kyra White, UTSA (AAC),Senior,70,Guard,ncaaw.p.60886,UTSA,29,1005,110,336,32.7,39,142,27.5,39,58,67.2,24,124,148,134,89,31,29,56,298
Abby Beeman, Marshall (Sun Belt),Senior,64,Guard,ncaaw.p.66529,Marshall,30,826,191,382,50,65,169,38.5,58,80,72.5,63,110,173,188,117,68,7,47,505
Hannah Hidalgo, Notre Dame (ACC),Freshman,66,Guard,ncaaw.p.112250,Notre Dame,31,1104,255,560,45.5,45,132,34.1,170,217,78.3,25,175,200,170,109,145,3,86,725
Sandra Frau-Garcia, UIC (MVC),Junior,67,Guard,ncaaw.p.112921,Ill. Chicago,31,601,27,75,36,3,8,37.5,31,50,62,19,53,72,126,70,48,3,63,88
